assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,2,242,100,100,4,69140,0,0,-4,4,45.5,345,119,0,2,3.3,1.8,0,Shkodran,2.3,17,0,47.9,303,100,1,False,277.2,246,97,1205,,2020-07-01T22:00:25.971699Z,51,0,0,0,69140.jpg,2.9,0,0,Mustafi,0.4,False,None,a,1,3,155.0,230,57,43,24665,831,45460,404,0.5,8.4,Mustafi,2
0,4,204,100,100,4,98745,-1,1,-3,3,76.9,298,92,0,2,3.6,2.1,0,Héctor,2.6,18,1,37.0,336,119,2,False,187.8,311,121,1156,,2019-12-09T20:00:21.228098Z,52,0,0,0,98745.jpg,2.9,0,0,Bellerín,1.0,False,None,a,1,3,103.0,265,75,44,201591,2880,154312,2343,0.5,8.5,Bellerín,2
2,1,313,100,100,4,111457,0,0,-3,3,167.9,214,51,0,2,3.6,2.1,1,Sead,2.6,24,0,48.8,298,98,3,False,249.8,264,107,1571,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.2,0,0,Kolasinac,0.5,False,None,a,1,3,73.0,309,102,53,63499,653,133624,266,0.5,10.2,Kolasinac,3
2,3,229,100,100,3,154043,0,0,-5,5,159.5,223,55,1,2,1.4,-0.1,1,Ainsley,0.4,20,0,47.3,307,102,4,False,282.6,241,95,1292,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.1,1,0,Maitland-Niles,2.2,False,None,a,1,3,37.0,361,132,40,609111,399,652166,684,0.1,8.9,Maitland-Niles,4
0,5,305,100,100,4,39476,0,0,-2,2,36.8,361,127,1,2,1.0,-0.5,0,Sokratis,0.0,25,2,58.5,260,82,5,False,436.2,153,57,1696,,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.3,False,None,a,1,3,110.0,260,73,57,181501,335,230255,618,0.0,11.9,Sokratis,6
0,1,54,0,0,1,38411,0,0,0,0,40.8,351,121,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,418,153,6,False,47.2,419,156,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,None,u,1,3,12.0,406,148,10,28255,9,89267,5,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,638,220,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,644,220,7,False,0.0,642,220,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,634,219,0,755,12,12876,5,0.0,0.0,Koscielny,0
0,0,0,0,0,0,233963,0,0,-2,2,0.0,570,216,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,584,216,8,False,0.0,581,216,0,Joined Stuttgart on loan until the end of the 2020/21 season on 16/7. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,n,1,3,0.0,550,210,0,1174,7,5041,4,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,586,217,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,598,217,9,False,0.0,595,217,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,571,213,0,511,18,2690,5,0.0,0.0,Jenkinson,0
0,2,71,100,100,1,156074,0,0,-1,1,2.4,446,168,0,2,2.7,1.2,2,Rob,1.7,6,0,10.0,417,152,10,False,91.2,381,146,400,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.3,0,0,Holding,0.2,False,None,a,1,3,6.0,426,157,14,24233,1790,21796,297,0.4,3.2,Holding,0
4,34,735,100,100,10,54694,0,0,-1,1,457.3,61,5,4,4,5.7,4.2,1,Pierre-Emerick,4.7,41,20,263.2,14,6,11,True,909.8,10,3,2956,,2020-01-08T14:00:18.333339Z,109,0,0,0,54694.jpg,5.5,1,0,Aubameyang,21.8,False,None,a,1,3,1268.0,9,7,187,3753952,40919,4060222,32031,0.4,17.2,Aubameyang,3
6,16,380,100,100,5,59966,0,0,-3,3,335.7,116,18,2,4,5.9,4.4,11,Alexandre,4.9,23,10,172.2,46,18,12,False,534.6,95,14,1721,,2019-09-01T18:30:14.246208Z,92,0,0,0,59966.jpg,4.0,0,0,Lacazette,2.2,False,None,a,1,3,849.0,34,19,113,430714,21731,540771,1490,0.5,12.3,Lacazette,7
0,1,62,100,0,3,205533,0,0,-2,2,53.9,331,51,0,4,2.1,0.0,0,Edward,1.1,7,2,31.4,349,52,13,False,80.2,389,50,505,,2020-07-07T22:00:20.841098Z,43,0,0,0,205533.jpg,2.0,1,0,Nketiah,1.5,False,None,a,1,3,179.0,210,53,22,322053,2449,325479,6443,0.3,5.1,Nketiah,0
