assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,37605,4,,0,0,0,0,0.0,511,202,None,,0,3,2.9,3.4,0,Mesut,0.0,0,0,0.0,511,202,1,False,0.0,511,202,0,,None,70,0,0,None,0,,37605.jpg,0.0,0,0,Özil,1.1,False,None,a,1,3,0.0,507,199,0,804,804,12941,12941,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,0,0,0.0,348,149,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,361,150,2,False,0.0,354,150,0,Calf injury - Expected back 19 Sep,2020-09-11T11:00:08.600094Z,50,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,i,1,3,0.0,306,138,0,43,43,3235,3235,0.0,0.0,Sokratis,0
0,0,0,0,0,0,41270,None,,0,0,0,0,0.0,431,178,4,,0,2,0.0,0.0,0,David,0.0,0,0,0.0,432,178,3,False,0.0,427,178,0,Neck - Unknown return date,2020-09-10T14:30:11.632386Z,55,0,0,None,0,,41270.jpg,0.0,0,0,Luiz Moreira Marinho,0.8,False,None,i,1,3,0.0,408,174,0,341,341,22251,22251,0.0,0.0,David Luiz,0
0,0,19,None,None,1,54694,None,,0,0,0,0,15.3,49,33,6,,0,3,4.5,5.0,7,Pierre-Emerick,7.0,0,1,10.6,7,4,4,False,36.6,23,8,90,,None,120,0,0,1,0,,54694.jpg,7.0,0,0,Aubameyang,46.3,False,None,a,1,3,54.0,8,4,7,91808,91808,173462,173462,0.6,0.6,Aubameyang,1
0,0,0,None,None,0,58822,None,,-1,1,-1,1,0.0,342,147,None,,0,2,2.6,3.1,0,Cédric,0.0,0,0,0.0,356,148,5,False,0.0,349,148,0,,None,49,0,0,None,0,,58822.jpg,0.0,0,0,Soares,0.5,False,None,a,1,3,0.0,299,136,0,645,645,9711,9711,0.0,0.0,Cédric,0
0,1,29,None,None,1,59966,None,,0,0,0,0,12.7,62,8,5,,0,4,3.5,4.0,7,Alexandre,7.0,0,1,9.9,14,4,6,False,38.6,20,4,86,,None,85,0,0,3,0,,59966.jpg,7.0,0,0,Lacazette,4.9,False,None,a,1,3,48.0,11,7,7,64624,64624,22494,22494,0.8,0.8,Lacazette,0
0,0,0,0,0,0,69140,None,,0,0,0,0,0.0,366,154,None,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,377,155,7,False,0.0,371,155,0,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,0,0,None,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,None,i,1,3,0.0,328,144,0,32,32,163,163,0.0,0.0,Mustafi,0
0,1,29,None,None,1,80201,None,,0,0,0,0,0.0,370,44,None,,0,1,3.0,3.5,7,Bernd,7.0,0,0,1.4,169,10,8,False,14.0,96,10,90,,None,50,0,0,None,0,,80201.jpg,7.0,0,2,Leno,9.1,False,None,a,1,3,0.0,333,44,7,83368,83368,28508,28508,1.4,1.4,Leno,0
0,0,11,None,None,1,84450,None,,0,0,0,0,17.2,42,28,2,,0,3,2.3,2.8,3,Granit,3.0,0,0,4.5,57,29,9,False,6.8,150,61,77,,None,55,0,0,None,0,,84450.jpg,3.0,0,0,Xhaka,0.9,False,None,a,1,3,21.0,43,20,3,7782,7782,6846,6846,0.5,0.5,Xhaka,0
0,0,0,0,0,0,92371,None,,0,0,0,0,0.0,274,112,None,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,292,113,10,False,0.0,285,113,0,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,0,0,None,0,,92371.jpg,0.0,0,0,Marí,0.0,False,None,i,1,3,0.0,220,94,0,32,32,151,151,0.0,0.0,Marí,0
0,0,23,None,None,1,98745,None,,0,0,0,0,26.4,22,7,None,,0,2,2.6,3.1,5,Héctor,5.0,0,0,4.0,71,21,11,False,9.8,128,58,90,,None,50,0,0,None,0,,98745.jpg,5.0,0,0,Bellerín,4.9,False,None,a,1,3,4.0,96,24,5,38328,38328,22037,22037,1.0,1.0,Bellerín,1
0,0,0,0,0,0,101184,None,,0,0,0,0,0.0,277,113,None,,0,2,0.0,0.0,0,Calum,0.0,0,0,0.0,295,114,13,False,0.0,288,114,0,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,0,0,None,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,None,i,1,3,0.0,224,96,0,65,65,205,205,0.0,0.0,Chambers,0
0,0,0,None,None,0,111457,None,,0,0,0,0,0.0,382,161,None,,0,2,2.6,3.1,0,Sead,0.0,0,0,0.0,389,161,14,False,0.0,383,161,0,,None,50,0,0,None,0,,111457.jpg,0.0,0,0,Kolasinac,0.3,False,None,a,1,3,0.0,349,155,0,288,288,3813,3813,0.0,0.0,Kolasinac,0
0,0,21,None,None,1,154043,None,,0,0,0,0,2.8,116,27,None,,0,2,2.6,3.1,6,Ainsley,6.0,0,0,1.7,155,55,15,False,10.2,123,57,90,,None,50,0,0,None,0,,154043.jpg,6.0,0,0,Maitland-Niles,2.3,False,None,a,1,3,4.0,99,25,6,19490,19490,10141,10141,1.2,1.2,Maitland-Niles,0
0,0,28,None,None,1,156074,None,,0,0,0,0,1.2,146,37,None,,0,2,2.1,2.6,6,Rob,6.0,0,0,2.2,130,42,16,False,20.6,53,25,90,,None,45,0,0,None,0,,156074.jpg,6.0,0,0,Holding,2.1,False,None,a,1,3,0.0,247,110,6,51806,51806,16983,16983,1.3,1.3,Holding,0
0,0,25,None,None,1,192895,None,,0,0,0,0,2.5,122,29,None,,0,2,3.0,3.5,6,Kieran,6.0,0,0,1.7,157,56,17,False,12.8,107,52,90,,None,55,0,0,None,0,,192895.jpg,6.0,0,0,Tierney,12.0,False,None,a,1,3,2.0,122,36,6,41563,41563,40177,40177,1.1,1.1,Tierney,0
0,0,3,None,None,0,195735,1,,-1,1,-1,1,15.3,48,32,3,,0,3,3.2,3.7,1,Nicolas,1.0,0,0,2.3,127,62,18,False,2.0,193,92,15,,None,79,0,0,2,0,,195735.jpg,1.0,0,0,Pépé,1.7,False,None,a,1,3,6.0,90,46,1,2043,2043,38740,38740,0.1,0.1,Pépé,0
0,0,0,None,None,0,198849,5,,0,0,0,0,0.0,404,153,None,,0,3,1.9,2.4,0,Lucas,0.0,0,0,0.0,410,153,19,False,0.0,405,152,0,,None,50,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.2,False,None,a,1,3,0.0,377,129,0,627,627,3411,3411,0.0,0.0,Torreira,0
0,0,0,None,None,0,200089,None,,0,0,0,0,0.0,407,154,None,,0,3,1.9,2.4,0,Joseph,0.0,0,0,0.0,413,154,20,False,0.0,408,153,0,,None,50,0,0,None,0,,200089.jpg,0.0,0,0,Willock,0.1,False,None,a,1,3,0.0,380,130,0,202,202,1413,1413,0.0,0.0,Willock,0
0,0,0,None,None,0,200641,6,,0,0,0,0,0.0,466,180,None,,0,3,2.3,2.8,0,Reiss,0.0,0,0,0.0,466,179,21,False,0.0,463,178,0,,None,55,0,0,None,0,,200641.jpg,0.0,0,0,Nelson,0.1,False,None,a,1,3,0.0,454,170,0,174,174,1118,1118,0.0,0.0,Nelson,0
0,0,3,None,None,0,205533,None,,0,0,0,0,0.0,497,55,None,,0,4,2.3,2.8,1,Edward,1.0,0,0,0.0,498,56,22,False,0.0,495,54,3,,None,60,0,0,None,0,,205533.jpg,1.0,0,0,Nketiah,1.5,False,None,a,1,3,0.0,491,56,1,2764,2764,27335,27335,0.2,0.2,Nketiah,0
0,0,0,0,0,0,209289,None,,0,0,0,0,0.0,319,117,None,,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,334,118,23,False,0.0,327,115,0,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,0,0,None,0,,209289.jpg,0.0,0,0,Smith Rowe,0.2,False,None,i,1,3,0.0,272,82,0,251,251,3447,3447,0.0,0.0,Smith Rowe,0
0,0,0,None,None,0,223340,3,,-1,1,-1,1,0.0,422,162,None,,0,3,2.2,2.7,0,Bukayo,0.0,0,0,0.0,427,162,24,False,0.0,422,161,0,,None,54,0,0,None,0,,223340.jpg,0.0,0,0,Saka,6.2,False,None,a,1,3,0.0,399,142,0,5730,5730,115534,115534,0.0,0.0,Saka,0
0,0,0,None,None,0,242166,None,,0,0,0,0,0.0,417,159,None,,0,3,1.9,2.4,0,Matteo,0.0,0,0,0.0,422,159,25,False,0.0,417,158,0,,None,50,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.2,False,None,a,1,3,0.0,393,138,0,478,478,2557,2557,0.0,0.0,Guendouzi,0
